edgeID,startNode,endNode
KELEV00Z01_FHALL02301,KELEV00Z01,FHALL02301
FSTAF00402_FHALL00102,FSTAF00402,FHALL00102
FSTAF00102_FHALL00202,FSTAF00102,FHALL00202
FDEPT00302_FHALL00302,FDEPT00302,FHALL00302
FSTAF00202_FHALL00402,FSTAF00202,FHALL00402
FSTAF00302_FHALL00502,FSTAF00302,FHALL00502
FDEPT00602_FHALL00302,FDEPT00602,FHALL00302
FSTAF00502_FHALL00402,FSTAF00502,FHALL00402
FDEPT00102_FHALL00602,FDEPT00102,FHALL00602
FELEV00Y02_FHALL00702,FELEV00Y02,FHALL00702
FDEPT00502_FHALL00802,FDEPT00502,FHALL00802
FDEPT00902_FHALL00902,FDEPT00902,FHALL00902
FELEV00X02_FHALL01002,FELEV00X02,FHALL01002
FSTAI00102_FSTAF00602,FSTAI00102,FSTAF00602
FSTAI00202_FHALL01102,FSTAI00202,FHALL01102
FRETL00102_FHALL01202,FRETL00102,FHALL01202
FDEPT00802_FHALL01302,FDEPT00802,FHALL01302
FELEV00Z02_FHALL01102,FELEV00Z02,FHALL01102
FSTAF00602_FHALL01402,FSTAF00602,FHALL01402
FDEPT00702_FHALL01502,FDEPT00702,FHALL01502
FDEPT00402_FHALL01602,FDEPT00402,FHALL01602
FREST00102_FHALL00702,FREST00102,FHALL00702
FDEPT01002_FHALL01702,FDEPT01002,FHALL01702
FSERV00102_FRETL00102,FSERV00102,FRETL00102
